Number	labels	theta	radius	X	Y	Z	sph_theta	sph_phi	sph_radius	
1	Fp1	-18	0.511	0.95	0.309	-0.0349	 18	 -2	  1	
2	Fp2	 18	0.511	0.95	-0.309	-0.0349	-18	 -2	  1	
3	F3	-39	0.333	0.673	0.545	0.5	 39	 30	  1	
4	F4	 39	0.333	0.673	-0.545	0.5	-39	 30	  1	
5	C3	-90	0.256	4.4e-17	0.719	0.695	 90	 44	  1	
6	C4	 90	0.256	4.4e-17	-0.719	0.695	-90	 44	  1	
7	P3	-141	0.333	-0.673	0.545	0.5	141	 30	  1	
8	P4	141	0.333	-0.673	-0.545	0.5	-141	 30	  1	
9	O1	-162	0.511	-0.95	0.309	-0.0349	162	 -2	  1	
10	O2	162	0.511	-0.95	-0.309	-0.0349	-162	 -2	  1	
11	F7	-54	0.511	0.587	0.809	-0.0349	 54	 -2	  1	
12	F8	 54	0.511	0.587	-0.809	-0.0349	-54	 -2	  1	
13	T7	-90	0.511	6.12e-17	0.999	-0.0349	 90	 -2	  1	
14	T8	 90	0.511	6.12e-17	-0.999	-0.0349	-90	 -2	  1	
15	P7	-126	0.511	-0.587	0.809	-0.0349	126	 -2	  1	
16	P8	126	0.511	-0.587	-0.809	-0.0349	-126	 -2	  1	
17	Fz	  0	0.256	0.719	 -0	0.695	 -0	 44	  1	
18	Cz	 90	  0	3.75e-33	-6.12e-17	  1	-90	 90	  1	
19	Pz	180	0.256	-0.719	-8.81e-17	0.695	-180	 44	  1	
20	Oz	180	0.511	-0.999	-1.22e-16	-0.0349	-180	 -2	  1	
21	FC1	-45	0.178	0.375	0.375	0.848	 45	 58	  1	
22	FC2	 45	0.178	0.375	-0.375	0.848	-45	 58	  1	
23	CP1	-135	0.178	-0.375	0.375	0.848	135	 58	  1	
24	CP2	135	0.178	-0.375	-0.375	0.848	-135	 58	  1	
25	FC5	-69	0.394	0.339	0.883	0.326	 69	 19	  1	
26	FC6	 69	0.394	0.339	-0.883	0.326	-69	 19	  1	
27	CP5	-111	0.394	-0.339	0.883	0.326	111	 19	  1	
28	CP6	111	0.394	-0.339	-0.883	0.326	-111	 19	  1	
29	TP9	-108	0.639	-0.28	0.862	-0.423	108	-25	  1	
30	TP10	108	0.639	-0.28	-0.862	-0.423	-108	-25	  1	
31	F1	-22	0.278	0.71	0.287	0.643	 22	 40	  1	
32	F2	 22	0.278	0.71	-0.287	0.643	-22	 40	  1	
33	C1	-90	0.128	2.39e-17	0.391	0.921	 90	 67	  1	
34	C2	 90	0.128	2.39e-17	-0.391	0.921	-90	 67	  1	
35	P1	-158	0.278	-0.71	0.287	0.643	158	 40	  1	
36	P2	158	0.278	-0.71	-0.287	0.643	-158	 40	  1	
37	AF3	-23	0.411	0.885	0.376	0.276	 23	 16	  1	
38	AF4	 23	0.411	0.885	-0.376	0.276	-23	 16	  1	
39	FC3	-62	0.278	0.36	0.676	0.643	 62	 40	  1	
40	FC4	 62	0.278	0.36	-0.676	0.643	-62	 40	  1	
41	CP3	-118	0.278	-0.36	0.676	0.643	118	 40	  1	
42	CP4	118	0.278	-0.36	-0.676	0.643	-118	 40	  1	
43	PO3	-157	0.411	-0.885	0.376	0.276	157	 16	  1	
44	PO4	157	0.411	-0.885	-0.376	0.276	-157	 16	  1	
45	F5	-49	0.417	0.634	0.729	0.259	 49	 15	  1	
46	F6	 49	0.417	0.634	-0.729	0.259	-49	 15	  1	
47	C5	-90	0.383	5.72e-17	0.934	0.358	 90	 21	  1	
48	C6	 90	0.383	5.72e-17	-0.934	0.358	-90	 21	  1	
49	P5	-131	0.417	-0.634	0.729	0.259	131	 15	  1	
50	P6	131	0.417	-0.634	-0.729	0.259	-131	 15	  1	
51	AF7	-38	0.511	0.788	0.615	-0.0349	 38	 -2	  1	
52	AF8	 38	0.511	0.788	-0.615	-0.0349	-38	 -2	  1	
53	FT7	-72	0.511	0.309	0.95	-0.0349	 72	 -2	  1	
54	FT8	 72	0.511	0.309	-0.95	-0.0349	-72	 -2	  1	
55	TP7	-108	0.511	-0.309	0.95	-0.0349	108	 -2	  1	
56	TP8	108	0.511	-0.309	-0.95	-0.0349	-108	 -2	  1	
57	PO7	-144	0.511	-0.809	0.587	-0.0349	144	 -2	  1	
58	PO8	144	0.511	-0.809	-0.587	-0.0349	-144	 -2	  1	
59	Fpz	  0	0.511	0.999	 -0	-0.0349	 -0	 -2	  1	
60	AFz	  0	0.383	0.934	 -0	0.358	 -0	 21	  1	
61	CPz	180	0.128	-0.391	-4.79e-17	0.921	-180	 67	  1	
62	POz	180	0.383	-0.934	-1.14e-16	0.358	-180	 21	  1	
63	FCz	  0	0.128	0.391	 -0	0.921	 -0	 67	  1	
